Title,Parent Organization,Contact Name,Contact Title,Phone Number,Phone Ext.,Website URL,Center Email Address,Country,Postal Code,County,Facebook Page URL,Twitter URL,Blog URL,About Our Center,Organization Type,Languages,Languages (Other),Number of Computers,Windows/Mac OS,Assistive Technology,Assistive Technology (Other),Wi-Fi Available?,Other Technology,Target Audience,Target Audience (Other),Open to Public?,Location
New Futures Arbor Heights,New Futures,Lucia Martinez,Site Manager,206-244-0533,,http://newfutures.org/our-programs/our-sites/arbor-heights/,luciam@newfutures.org,United States,98146,King,http://www.facebook.com/newfutures,,,"We have been a part of this 98-unit apartment complex since  spring 2004. Arbor Heights Apartments are located in the diverse White  Center Community, and are owned by the King County Housing Authority.  Our community center opens to a playground that sits in the center of  the complex, and is where the After-School Program hosts its many  “kid-planned” events, like a Carnival, a Luau, and BBQs.
Arbor Heights used to be called the Cone Center. In honor of our  founding executive director, we renamed it the “Roxanne Hood Lyons  Family Center.",Housing,"English, Spanish",,6,Mac OS,None,,No Wi-Fi,,On-site Residents,,Limited Users,"135 SW 116th St
Burien, Washington
(47.46862000041284, -122.34035999971405)"
La Casa Hogar,La Casa Hogar,Carole Folsom-Hill,Executive Director,509-457-5058,,http://www.lacasahogar.org/,Carole@lacasahogar.org,United States,98901-2927,Yakima,,,,"The mission of La Casa Hogar is Working together as an expression of faith, our home nurtures strong communities…one person at a time.
Our Vision Creating places of welcome and hospitality for all persons; Providing emergency services when other sources fail or are not available; Offering educational and learning opportunities for women and children; Providing settings where barriers between people may be broken down; Working toward the social and spiritual reconciliation and transformation of the whole community",Human Services/Non-profit (non-residential)Faith-based,"English, Spanish",,8,Windows,,,,Audio production,"Adults, Immigrants/Refugees",,,"106 South 6th Street
Yakima, Washington
(46.602276536826025, -120.49764706640588)"
Special Technology Access Resource Center,,Oscar Escalante,Executive Director,206-325-4284,,http://www.starofseattle.org,starofSeattle@cablespeed.com,United States,98144,King,,,,"The Mission of the STAR of Seattle is: To empower people of widely varying abilities and disabilities to build community using computers, the internet, and assistive technology. The motto is: ""Achieving success, one person at a itime!"" The STAR of Seattle Computer Center first opened its doors on November 1, 1999, after almost two years of work by many residents of Center Park, the Seattle Housing Authority, City of Seattle, and individuals from the community. Today, the STAR Center has 7 workstations featuring a wide range of assistive technology for lab users who might be mobility-impaired, sight-impaired, or hearing-impaired.",Human Services/Non-profit (non-residential)Other,English,,7,Windows,"Blind/LV, Deaf, Wheelchair accessible","Word Prediction Software, Trackball Mouse, On-Screen Keyboard, Joystick",Offers Wi-Fi,,"Adults, Disabled, On-site Residents, Seniors",,All Public,"2600 South Walker Street
Seattle, Washington
(47.583684910233494, -122.29923368147756)"
Yesler Computer Lab,Associated Recreation Council - RecTech,Asfaha Lemlem,RecTech Lead,206-615-1579,,http://www.seattle.gov/parks/rectech/labs/yesler/,asfaha.lemlem@seattle.gov,United States,98122,King,https://www.facebook.com/pages/RecTech/156100567756554,,,"RecTech's Yesler Computer Lab is located in Seattle's Central district.  There is a wide range of learning opportunities and activities   for  youth, adults and seniors. We use the tools of computers and multimedia  to   provide programs which help develop skills, train tomorrow’s  leaders, encourage   recreation and health, build community and connect  residents to vital   services.",Government/Public Community Center,"English, Vietnamese",,17,WindowsMac OS,None,,Offers Wi-Fi,,"Adults, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"917 E Yesler Way Seattle
Seattle, Washington
(47.60167512154652, -122.32008718590112)"
Southwest Computer Lab,Associated Recreation Council - RecTech,Carl Dwyer,RecTech Lead,206-684-7438,,http://www.seattle.gov/parks/rectech/labs/southwest/,carl.dwyer@seattle.gov,United States,98126,King,https://www.facebook.com/pages/RecTech/156100567756554,,,"RecTech's Southwest Computer Lab is located in West Seattle. There is a  wide range of learning opportunities and activities   for youth, adults  and seniors. We use the tools of computers and multimedia to   provide  programs which help develop skills, train tomorrow’s leaders, encourage    recreation and health, build community and connect residents to vital    services.",Government/Public Community Center,English,,10,Windows,None,,Offers Wi-Fi,,"Adults, Immigrants/Refugees, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"2801 SW Thistle St
Seattle, Washington
(47.52826346429475, -122.3689563449733)"
South Park Computer Lab,Associated Recreation Council - RecTech,Lovely-Frances Domingo,RecTech Lead,206-615-0981,,http://www.seattle.gov/parks/rectech/labs/south_park/,lovely-frances.domingo@seattle.gov,United States,98108,King,https://www.facebook.com/pages/RecTech/156100567756554,,,"RecTech's South Park Computer Lab is located in Seattle's South Park  district. There is a wide range of learning opportunities and activities    for youth, adults and seniors. We use the tools of computers and  multimedia to   provide programs which help develop skills, train  tomorrow’s leaders, encourage   recreation and health, build community  and connect residents to vital   services.",Government/Public Community Center,"English, Spanish",,14,WindowsMac OS,None,,Offers Wi-Fi,,"Adults, Immigrants/Refugees, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"8319 8th Ave S
Seattle, Washington
(47.52883404266239, -122.3229509194324)"
Rainier Computer Lab,Associated Recreation Council - RecTech,Jaycee Coleman,RecTech Lead,206-386-1919,,http://www.seattle.gov/parks/rectech/labs/rainier/,jaycee.coleman@seattle.gov,United States,98118,King,https://www.facebook.com/pages/RecTech/156100567756554,,,"RecTech's Rainier Computer Lab is located in South Seattle. There is a  wide range of learning opportunities and activities   for youth, adults  and seniors. We use the tools of computers and multimedia to   provide  programs which help develop skills, train tomorrow’s leaders, encourage    recreation and health, build community and connect residents to vital    services.",Government/Public Community Center,English,,14,WindowsMac OS,None,,Offers Wi-Fi,Audio production,"Adults, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"4600 38th Ave S
Seattle, Washington
(47.561741544492975, -122.28484191765332)"
Miller Computer Lab,Associated Recreation Council - RecTech,Jeremy Doane,RecTech Lead,206-684-4753,,http://www.seattle.gov/parks/rectech/labs/miller/,jeremy.doane@seattle.gov,United States,98122,King,https://www.facebook.com/pages/RecTech/156100567756554,,,"RecTech's Miller Computer Lab is located in Seattle's Capitol Hill  district. There is a wide range of learning opportunities and activities    for youth, adults and seniors. We use the tools of computers and  multimedia to   provide programs which help develop skills, train  tomorrow’s leaders, encourage   recreation and health, build community  and connect residents to vital   services.",Government/Public Community Center,English,,9,Windows,None,,Offers Wi-Fi,,"Adults, Youth: Pre-teen, Youth: Teen",,All Public,"330 19th Ave E
Seattle, Washington
(47.62105286028107, -122.3072478412019)"
International District Computer Lab,Associated Recreation Council - RecTech,Junior Kitiona,Center Coordinator,206-233-0042,,http://www.seattle.gov/parks/rectech/labs/international_district/,junior.kitiona@seattle.gov,United States,98104,King,https://www.facebook.com/pages/RecTech/156100567756554,,,"RecTech's International District Computer Lab is located in the  International District/Chinatown neighborhood. There is a wide range of  learning opportunities and activities   for youth, adults and seniors.  We use the tools of computers and multimedia to   provide programs which  help develop skills, train tomorrow’s leaders, encourage   recreation  and health, build community and connect residents to vital   services.",Government/Public Community Center,English,,6,Windows,None,,Offers Wi-Fi,,"Adults, Immigrants/Refugees, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"719 8th Ave S
Seattle, Washington
(47.59648820674566, -122.32252834319401)"
Garfield Teen Life Center Computer Lab,Associated Recreation Council - RecTech,Melanie Boehm,RecTech Lead,206-684-4550,,http://www.seattle.gov/parks/rectech/labs/garfield_teen_life/,melanie.boehm@seattle.gov,United States,98122,King,https://www.facebook.com/pages/RecTech/156100567756554,,,"RecTech's Garfield Teen Life Center (TLC) Computer Lab is located in the  Central District. There is a wide range of learning opportunities and  activities   for youth, adults and seniors. We use the tools of  computers and multimedia to   provide programs which help develop  skills, train tomorrow’s leaders, encourage   recreation and health,  build community and connect residents to vital   services.",Government/Public Community Center,English,,11,WindowsMac OS,None,,Offers Wi-Fi,Audio production,Youth: Teen,,All Public,"428 23rd Ave
Seattle, Washington
(47.60543893475565, -122.30264920013751)"
