Title,Parent Organization,Contact Name,Contact Title,Phone Number,Phone Ext.,Website URL,Center Email Address,Country,Postal Code,County,Facebook Page URL,Twitter URL,Blog URL,About Our Center,Organization Type,Languages,Languages (Other),Number of Computers,Windows/Mac OS,Assistive Technology,Assistive Technology (Other),Wi-Fi Available?,Other Technology,Target Audience,Target Audience (Other),Open to Public?,Location
New Futures Arbor Heights,New Futures,Lucia Martinez,Site Manager,206-244-0533,,http://newfutures.org/our-programs/our-sites/arbor-heights/,luciam@newfutures.org,United States,98146,King,http://www.facebook.com/newfutures,,,"We have been a part of this 98-unit apartment complex since  spring 2004. Arbor Heights Apartments are located in the diverse White  Center Community, and are owned by the King County Housing Authority.  Our community center opens to a playground that sits in the center of  the complex, and is where the After-School Program hosts its many  “kid-planned” events, like a Carnival, a Luau, and BBQs.
Arbor Heights used to be called the Cone Center. In honor of our  founding executive director, we renamed it the “Roxanne Hood Lyons  Family Center.",Housing,"English, Spanish",,6,Mac OS,None,,No Wi-Fi,,On-site Residents,,Limited Users,"135 SW 116th St
Burien, Washington
(47.46862000041284, -122.34035999971405)"
Special Technology Access Resource Center,,Oscar Escalante,Executive Director,206-325-4284,,http://www.starofseattle.org,starofSeattle@cablespeed.com,United States,98144,King,,,,"The Mission of the STAR of Seattle is: To empower people of widely varying abilities and disabilities to build community using computers, the internet, and assistive technology. The motto is: ""Achieving success, one person at a itime!"" The STAR of Seattle Computer Center first opened its doors on November 1, 1999, after almost two years of work by many residents of Center Park, the Seattle Housing Authority, City of Seattle, and individuals from the community. Today, the STAR Center has 7 workstations featuring a wide range of assistive technology for lab users who might be mobility-impaired, sight-impaired, or hearing-impaired.",Human Services/Non-profit (non-residential)Other,English,,7,Windows,"Blind/LV, Deaf, Wheelchair accessible","Word Prediction Software, Trackball Mouse, On-Screen Keyboard, Joystick",Offers Wi-Fi,,"Adults, Disabled, On-site Residents, Seniors",,All Public,"2600 South Walker Street
Seattle, Washington
(47.583684910233494, -122.29923368147756)"
Yesler Computer Lab,Associated Recreation Council - RecTech,Asfaha Lemlem,RecTech Lead,206-615-1579,,http://www.seattle.gov/parks/rectech/labs/yesler/,asfaha.lemlem@seattle.gov,United States,98122,King,https://www.facebook.com/pages/RecTech/156100567756554,,,"RecTech's Yesler Computer Lab is located in Seattle's Central district.  There is a wide range of learning opportunities and activities   for  youth, adults and seniors. We use the tools of computers and multimedia  to   provide programs which help develop skills, train tomorrow’s  leaders, encourage   recreation and health, build community and connect  residents to vital   services.",Government/Public Community Center,"English, Vietnamese",,17,WindowsMac OS,None,,Offers Wi-Fi,,"Adults, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"917 E Yesler Way Seattle
Seattle, Washington
(47.60167512154652, -122.32008718590112)"
Southwest Computer Lab,Associated Recreation Council - RecTech,Carl Dwyer,RecTech Lead,206-684-7438,,http://www.seattle.gov/parks/rectech/labs/southwest/,carl.dwyer@seattle.gov,United States,98126,King,https://www.facebook.com/pages/RecTech/156100567756554,,,"RecTech's Southwest Computer Lab is located in West Seattle. There is a  wide range of learning opportunities and activities   for youth, adults  and seniors. We use the tools of computers and multimedia to   provide  programs which help develop skills, train tomorrow’s leaders, encourage    recreation and health, build community and connect residents to vital    services.",Government/Public Community Center,English,,10,Windows,None,,Offers Wi-Fi,,"Adults, Immigrants/Refugees, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"2801 SW Thistle St
Seattle, Washington
(47.52826346429475, -122.3689563449733)"
South Park Computer Lab,Associated Recreation Council - RecTech,Lovely-Frances Domingo,RecTech Lead,206-615-0981,,http://www.seattle.gov/parks/rectech/labs/south_park/,lovely-frances.domingo@seattle.gov,United States,98108,King,https://www.facebook.com/pages/RecTech/156100567756554,,,"RecTech's South Park Computer Lab is located in Seattle's South Park  district. There is a wide range of learning opportunities and activities    for youth, adults and seniors. We use the tools of computers and  multimedia to   provide programs which help develop skills, train  tomorrow’s leaders, encourage   recreation and health, build community  and connect residents to vital   services.",Government/Public Community Center,"English, Spanish",,14,WindowsMac OS,None,,Offers Wi-Fi,,"Adults, Immigrants/Refugees, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"8319 8th Ave S
Seattle, Washington
(47.52883404266239, -122.3229509194324)"
Rainier Computer Lab,Associated Recreation Council - RecTech,Jaycee Coleman,RecTech Lead,206-386-1919,,http://www.seattle.gov/parks/rectech/labs/rainier/,jaycee.coleman@seattle.gov,United States,98118,King,https://www.facebook.com/pages/RecTech/156100567756554,,,"RecTech's Rainier Computer Lab is located in South Seattle. There is a  wide range of learning opportunities and activities   for youth, adults  and seniors. We use the tools of computers and multimedia to   provide  programs which help develop skills, train tomorrow’s leaders, encourage    recreation and health, build community and connect residents to vital    services.",Government/Public Community Center,English,,14,WindowsMac OS,None,,Offers Wi-Fi,Audio production,"Adults, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"4600 38th Ave S
Seattle, Washington
(47.561741544492975, -122.28484191765332)"
Miller Computer Lab,Associated Recreation Council - RecTech,Jeremy Doane,RecTech Lead,206-684-4753,,http://www.seattle.gov/parks/rectech/labs/miller/,jeremy.doane@seattle.gov,United States,98122,King,https://www.facebook.com/pages/RecTech/156100567756554,,,"RecTech's Miller Computer Lab is located in Seattle's Capitol Hill  district. There is a wide range of learning opportunities and activities    for youth, adults and seniors. We use the tools of computers and  multimedia to   provide programs which help develop skills, train  tomorrow’s leaders, encourage   recreation and health, build community  and connect residents to vital   services.",Government/Public Community Center,English,,9,Windows,None,,Offers Wi-Fi,,"Adults, Youth: Pre-teen, Youth: Teen",,All Public,"330 19th Ave E
Seattle, Washington
(47.62105286028107, -122.3072478412019)"
International District Computer Lab,Associated Recreation Council - RecTech,Junior Kitiona,Center Coordinator,206-233-0042,,http://www.seattle.gov/parks/rectech/labs/international_district/,junior.kitiona@seattle.gov,United States,98104,King,https://www.facebook.com/pages/RecTech/156100567756554,,,"RecTech's International District Computer Lab is located in the  International District/Chinatown neighborhood. There is a wide range of  learning opportunities and activities   for youth, adults and seniors.  We use the tools of computers and multimedia to   provide programs which  help develop skills, train tomorrow’s leaders, encourage   recreation  and health, build community and connect residents to vital   services.",Government/Public Community Center,English,,6,Windows,None,,Offers Wi-Fi,,"Adults, Immigrants/Refugees, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"719 8th Ave S
Seattle, Washington
(47.59648820674566, -122.32252834319401)"
Garfield Teen Life Center Computer Lab,Associated Recreation Council - RecTech,Melanie Boehm,RecTech Lead,206-684-4550,,http://www.seattle.gov/parks/rectech/labs/garfield_teen_life/,melanie.boehm@seattle.gov,United States,98122,King,https://www.facebook.com/pages/RecTech/156100567756554,,,"RecTech's Garfield Teen Life Center (TLC) Computer Lab is located in the  Central District. There is a wide range of learning opportunities and  activities   for youth, adults and seniors. We use the tools of  computers and multimedia to   provide programs which help develop  skills, train tomorrow’s leaders, encourage   recreation and health,  build community and connect residents to vital   services.",Government/Public Community Center,English,,11,WindowsMac OS,None,,Offers Wi-Fi,Audio production,Youth: Teen,,All Public,"428 23rd Ave
Seattle, Washington
(47.60543893475565, -122.30264920013751)"
Garfield Computer Lab,Associated Recreation Council - RecTech,Tariq Sahali,RecTech Lead,206-684-4788,,http://www.seattle.gov/parks/rectech/labs/garfield/,tariq.sahali@seattle.gov,United States,98122,King,https://www.facebook.com/pages/RecTech/156100567756554,,,"RecTech's Garfield Computer Lab is located in the Central District and provides 14 workstations with broadband Internet access. There is a wide range of learning opportunities and activities for youth, adults and seniors. We use the tools of computers and multimedia to provide programs which help develop skills, train tomorrow’s leaders, encourage recreation and health, build community and connect residents to vital services.",Government/Public Community Center,English,,14,WindowsMac OS,None,,Offers Wi-Fi,Video production,"Adults, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"2323 East Cherry St
Seattle, Washington
(47.60795152585223, -122.3024566267915)"
Delridge Computer Lab,Associated Recreation Council - RecTech,Leslie Howle,RecTech Site Lead,206-799-2030,,http://www.seattle.gov/parks/rectech/labs/delridge/,leslie.howle@seattle.gov,United States,98106,King,https://www.facebook.com/pages/RecTech/156100567756554?sk=wall,,,"RecTech's Delridge Computer Lab is located in West Seattle. There is a  wide range of learning opportunities and activities   for youth, adults  and seniors. We use the tools of computers and multimedia to   provide  programs which help develop skills, train tomorrow’s leaders, encourage    recreation and health, build community and connect residents to vital    services.",Government/Public Community Center,English,,12,Windows,None,,No Wi-Fi,,"Adults, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"4501 Delridge Way SW
Seattle, Washington
(47.562838499497055, -122.36347670545089)"
Neighborhood House High Point Center,Neighborhood House,Kathryn,McGhee,206-461-4568,,http://www.nhwa.org/high-point/,info@nhwa.org,United States,98126,King,https://www.facebook.com/pages/Neighborhood-House/55956761810,https://twitter.com/#!/neighborhouse,,"Located in the heart of the High Point community, the High Point Center is a home for anti-poverty services that strengthen High Point families and support the development of a healthy, vibrant and green community.The center is also a place where families from all walks of life can gather and share food, stories and experiences.  It's a community living room for everything from town meetings to neighborhood potlucks, book clubs to Head Start classes.",Human Services/Non-profit (non-residential),"Amharic, Chinese, English, Oromo, Russian, Somali, Spanish, Vietnamese",,15,Windows,"None, Wheelchair accessible",,Offers Wi-Fi,,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, On-site Residents, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"6400 Sylvan Way SW
Seattle, Washington
(47.60355999989423, -122.32943999975606)"
Multimedia Resources and Training Institute,,Assaye,Abunie,206-838-6359,,http://mmrtiseattle.org/,info@mmrtiseattle.org,United States,98144,King,,,,"Mission: The mission of Multimedia Resources & Training Institute (MMRTI) is to empower youth to become leaders and artists by using media technologies to transform images about their cultural heritage, communities, and themselves.
Goal: Our goal is to build a foundation that is youth-led and supported by parents and community members so that young media makers can mobilize together to create a sustainable foundation for the future, and to create a collective voice in their community. ",Human Services/Non-profit (non-residential)K-12 Education,Tigrinya,,8,WindowsMac OS,None,,No Wi-Fi,Audio productionVideo production,"Adults, Immigrants/Refugees, Low Income, Youth: Teen",,Limited Users,"2301 S Jackson Street Suite 103
Seattle, Washington
(47.59922810216801, -122.30223312551787)"
Horn of Africa Services,,Tsegaye,Gebru,206-760-0550,,http://hoas.org/,info@hoas.org ,United States,98118,King,https://www.facebook.com/HOAS4714?v=wall,https://twitter.com/#!/HornOfAfricaS,,"Horn of Africa Services (HOAS) is a multi-lingual, multicultural nonprofit organization  offering individual and family counseling and referral services. We  respond to the health, employment, housing and educational needs within  communities from Djibouti, Eritrea, Ethiopia, Somalia, Sudan, and  neighboring countries who are living in the Greater Seattle area. HOAS  provides services by bilingual staff speaking in Amharic, Oromo,  Tigrigna, and Somali.",Human Services/Non-profit (non-residential),"Amharic, Oromo, Somali, Tigrinya",,12,Windows,None,,No Wi-Fi,,"Adults, Immigrants/Refugees, Low Income, Small Businesses, Youth: Teen",,All Public,"4714 Rainier Avenue SouthSuite 105
Seattle, Washington
(47.560188742884556, -122.28646142177188)"
Helping Link,,Minh-Duc Nguyen,Executive Director,206-568-5160,,http://helpinglink.org,helpinglink2003@gmail.com,United States,98104,King,http://www.facebook.com/HelpingLink,http://twitter.com/#!/helpinglink,,"Our mission is to empower Vietnamese-Americans’ social adjustment, family stability,  and self-sufficiency while nurturing community service and youth  leaders. Our multi-level bilingual classes help participants access technology and  develop employable skills in Helping Link’s public computing center.",Human Services/Non-profit (non-residential),"English, Vietnamese",,15,Windows,None,,Offers Wi-Fi,,"Adults, Immigrants/Refugees, Low Income, Seniors, Youth: Teen",,Limited Users,"1032 S Jackson StSte C
Seattle, Washington
(47.60355999989423, -122.32943999975606)"
Chinese Information and Service Center,,Stephen Lam,Elderly Program Director,206-624-5633,,http://www.cisc-seattle.org/,stephenl@cisc-seattle.org,United States,98104,King,https://www.facebook.com/cisc.seattle,,http://www.cisc-seattle.blogspot.com/,"For over 35 years, CISC has  enjoyed an excellent reputation in the community as the leading provider  of linguistically and culturally appropriate social services to the  Chinese immigrant community.",Human Services/Non-profit (non-residential),Chinese,"Cantonese, Mandarin, Toisanese, Taiwanese, Hakka, Chiuchow, Shanghainese, Fukienese",18,WindowsMac OS,"Blind/LV, None, Wheelchair accessible",,Offers Wi-Fi,,"Adults, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"611 S Lane St
Seattle, Washington
(47.59660705088803, -122.32563359391747)"
Neighborhood House Rainier Vista,,Kathryn,McGhee,206-461-4568,,http://www.nhwa.org,kathrynm@nhwa.org  ,United States,98108,King,https://www.facebook.com/pages/Neighborhood-House/55956761810,https://twitter.com/#!/neighborhouse,,"The mission of Neighborhood House is to help diverse communities of people with limited resources attain their goals for self-sufficiency, financial independence, health, and community building.At the core of our mission is the alleviation of poverty in our community, especially the large public housing communities in Seattle and King County.",Human Services/Non-profit (non-residential),"Amharic, Oromo, Russian, Somali, Spanish, Tigrinya, Vietnamese",Cambodian,14,Windows,Wheelchair accessible,,No Wi-Fi,,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"4410 29th Ave S
Seattle, Washington
(47.56282440988076, -122.29600334195646)"
Denny Terrace,Full Life Care,Mike Pollack,BTOP Grant Project Coordinator,206-659-8993,,http://www.fulllifecare.org/,mikep@fulllifecare.org,United States,98102,King,https://www.facebook.com/FullLifeCare,,,"The Denny Terrace Computer Lab is a very unique computer learning  center. It is a “mini-lab,” housing 8 computers, a  printer, a scanner and a copier. Also, the lab is both used and managed by residents  of the Denny Terrace building. It also houses a resource library for residents.",Housing,English,,8,Windows,Wheelchair accessible,,Offers Wi-Fi,,On-site Residents,,Limited Users,"100 Melrose Ave E
Seattle, Washington
(47.61873526044235, -122.3278303485734)"
Westwood Heights Senior Housing,Digital Promise,Oscar Escalante,Technology & Site Lead,206-770-6835,,http://www.seattlehousing.org/housing/public/locations/westwood-heights/,oscartheatguru@gmail.com,United States,98126,King,,,,"Located at the southern end of West Seattle, Westwood Heights is one  of two senior preference buildings for residents age 62 and older.  Sitting within walking distance of several grocery stores, pharmacies,  and the many shops of nearby Westwood Village, the building is also  close to Roxhill and North Shorewood Parks and a Seattle Public Library  branch.
Westwood Heights has a number of services targeted to the  needs of seniors, including lifetime fitness classes, home care  assistance, visiting nurses, case management services, and a  senior-friendly computer lab.",Housing,English,,9,Windows,Blind/LV,,Offers Wi-Fi,,On-site Residents,,Limited Users,"9455 27th Ave SW
Seattle, Washington
(47.518211654568155, -122.36734679583533)"
Metrocenter YMCA,YMCA of Greater Seattle,Chris Tugwell,"Director, Technology Programs",206-839-8911,,http://www.seattleymca.org/,ctugwell@seattleymca.org,United States,98104,King,https://www.facebook.com/MetrocenterYMCA,,http://youthdigitalmedia.com/,"YTECH strives to provide our community with the skills they need to be successful in higher education, the workplace and the community. YTECH not only provides access to the newest digital media technology, but the guidance and training to use it in meaningful ways! YTECH supplements their training sessions by teaching young people to interact in the online environment Puget SoundOff.org. YTECH participants learn to identify and use their voice to create their own pieces of digital media about community issues that matter to them most. Armed with hard skills, access to technology and a forum for expression and action, YTECH helps develop the next generation of employable, engaged, skilled civic participants. YTECH programs are available for ages six to sixty!",Human Services/Non-profit (non-residential),"English, Spanish",,23,WindowsMac OS,Wheelchair accessible,,Offers Wi-Fi,Audio productionVideo production,"Adults, Low Income, Youth: Pre-teen, Youth: Teen",,All Public,"909 4th Ave
Seattle, Washington
(47.605668111356636, -122.3325877621084)"
New Futures The Heights at Burien,New Futures,Norma Ortiz,Community Developer,206-241-4840,,http://newfutures.org/our-programs/our-sites/the-heights-at-burien/,normao@newfutures.org,United States,98166,King,http://www.facebook.com/newfutures,,,"In 1993, we linked four apartment units together and converted the  space into classrooms, computer labs, and family meeting areas, to open  our largest family center.
Located in the heart of Burien, The Heights at Burien has 543  apartments inside the complex, which makes it one of the largest  complexes in the Puget Sound area. A majority of the residents here are  Latino. There is also a large group of indigenous Mexican immigrants  known as Purépecha.  The Purépecha and their language date back to the  time of the Aztecs.
Like all of our sites, we offer English Language Learner (ELL)  classes, translation services, and family advocacy services to help  recent immigrant families navigate unfamiliar education and governmental  systems, so they can thrive.",Housing,"English, Spanish",,11,Mac OS,None,,No Wi-Fi,,On-site Residents,,Limited Users,"13737 SW 12th AveBuilding 31
Burien, Washington
(47.46862000041284, -122.34035999971405)"
Ballard Neighborhood Service Center,,Derrick Hall,,206-233-5061,,http://www.seattle.gov/neighborhoods/nsc/ballard.htm,derrick.hall@seattle.gov,United States,98107,King,,,,"Seattle has six Neighborhood Service Centers located throughout the city. These ""little city halls"" are where you can go to find information about Seattle services and programs.  Public access to the Internet is available and limited to one 30 minute session per day.",Government/Public Community Center,English,,1,Windows,None,,No Wi-Fi,,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, On-site Residents, Seniors, Small Businesses, Youth: Teen",,All Public,"5604 22nd Ave NW
Seattle, Washington
(47.66949721708327, -122.3846760213801)"
Lake City Neighborhood Service Center,,Derrick Hall,,206-233-5061,,http://www.seattle.gov/neighborhoods/nsc/lakecity.htm,derrick.hall@seattle.gov,United States,98125,King,,,,"Seattle has six Neighborhood Service Centers located throughout the city. These ""little city halls"" are where you can go to find information about Seattle services and programs.  Public access to the Internet is available and limited to one 30 minute session per day.",Government/Public Community Center,,,1,Windows,None,,No Wi-Fi,,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, On-site Residents, Seniors, Small Businesses, Youth: Pre-teen, Youth: Teen",,All Public,"12525 28th Ave NE (2nd Floor)
Seattle, Washington
(47.71976330959339, -122.2977868905812)"
